,TOOL_ID,210X1,210X2,210X3,210X4,210X5,210X6,210X7,210X8,210X9,210X10,210X11,210X12,210X13,210X14,210X21,210X22,210X23,210X24,210X37,210X38,Tool,261X569,261X570,261X571,261X572,220X147,220X150,220X151,220X153,330X623,312X175,Y
0,J,100.85,0.423,0.41,0.624,35.5,1.795,0.08,-0.18,-0.15,24.1,42.31,0.469,0.083,0.088,14.0,14.0,14.3,20170721051447.0,0.0,0.0,B,1.4e-05,32.0,6.8e-07,1e-10,14.0,,,5.0,20170729.0,,2.9450788825752783
1,J,100.8,0.322,0.41,0.544,70.98,3.58,0.11,-0.32,-0.15,24.3,42.27,0.378,0.082,0.088,14.0,14.0,14.3,20170721062739.0,0.0,0.0,B,1.4e-05,32.0,1e-10,1e-10,25.0,,,5.0,20170729.0,,2.955092235391502
2,O,100.75,0.526,0.14,1.081,57.84,2.848,-0.75,1.1,0.06,24.8,13.61,0.526,0.067,0.067,14.0,14.0,13.0,20170805190806.0,0.0,0.0,B,7.7e-06,32.0,1.5e-07,1e-10,1.0,,,5.0,20170729.0,,2.7412641668604247
3,O,100.7,0.541,0.14,1.119,58.01,2.909,-0.98,1.05,0.06,23.7,13.65,0.517,0.066,0.066,14.0,14.0,13.2,20170805213814.0,0.0,0.0,B,1.4e-06,32.0,1e-10,1e-10,26.0,,,5.0,20170728.0,,2.799335932073436
4,O,100.7,0.503,0.13,0.944,57.67,2.888,-0.48,1.08,0.06,24.4,13.52,0.563,0.067,0.066,14.0,14.0,14.0,20170807101728.0,0.0,0.0,A,9e-06,32.0,1e-10,1e-10,8.0,,,5.0,20170728.0,,2.692092529690795
5,M,101.25,0.816,0.22,2.994,62.1,3.005,-2.28,0.61,0.07,26.9,23.73,2.205,0.074,0.068,14.0,14.0,14.3,20170807012401.0,0.0,0.0,A,4.5e-06,32.0,1e-10,1e-10,1.0,,,5.0,20170728.0,,2.6258530534421216
6,N,102.0,0.504,0.25,1.52,61.16,3.112,-0.34,-0.55,-0.12,26.5,26.41,0.556,0.079,0.079,14.0,14.0,14.0,20170807102032.0,0.0,0.0,A,1e-10,32.0,1e-10,1e-10,9.0,,,5.0,20170728.0,,2.6980066614278413
7,L,99.78,0.604,0.24,1.474,55.56,3.676,-2.34,0.21,0.16,27.8,24.15,0.493,0.076,0.072,14.0,14.0,14.8,20170808203030.0,0.0,0.0,B,1e-10,32.0,1e-10,1e-10,3.0,,,5.0,20170727.0,18.4,2.7882307377907956
8,L,99.81,0.593,0.24,1.44,55.52,3.716,-2.59,0.42,0.16,26.9,24.16,0.487,0.075,0.072,14.0,14.0,14.5,20170808203238.0,0.0,0.0,B,1e-10,32.0,1e-10,1e-10,4.0,,,5.0,20170727.0,18.4,2.7734526016728407
9,N,102.3,0.474,0.25,1.522,61.38,3.018,-0.12,-0.87,-0.13,26.3,26.65,0.57,0.077,0.078,14.0,14.0,14.4,20170808203601.0,0.0,0.0,B,2.4e-06,32.0,1e-10,1e-10,5.0,,,5.0,20170727.0,18.4,2.851242374686125
10,N,102.25,0.559,0.25,1.591,61.41,3.066,-0.73,-0.73,-0.14,26.7,26.63,0.647,0.079,0.079,14.0,14.0,14.1,20170808204524.0,0.0,0.0,B,1e-10,32.0,1e-10,1e-10,8.0,,,5.0,20170727.0,18.4,3.0452078632680215
11,L,99.94,0.514,0.24,1.016,56.66,3.515,1.5,1.63,0.05,26.7,24.66,0.498,0.077,0.073,14.0,14.0,14.5,20170804103027.0,0.0,0.0,B,8.1e-06,32.0,2.1e-07,1e-10,1.0,,,5.0,20170728.0,,2.765984475765674
12,L,99.47,0.559,0.24,1.065,56.44,3.426,-2.22,0.36,0.15,28.4,24.48,0.524,0.076,0.072,14.0,14.0,14.8,20170807012700.0,0.0,0.0,A,2.9e-06,32.0,1e-10,1e-10,2.0,,,5.0,20170728.0,,2.6761605040565613
13,N,102.15,0.509,0.25,1.657,61.2,3.263,-0.85,-0.76,-0.13,27.2,26.57,0.554,0.078,0.08,14.0,14.0,14.3,20170807012908.0,0.0,0.0,A,9.3e-06,32.0,2.9e-07,1e-10,3.0,,,5.0,20170728.0,,2.717160503968172
14,L,99.84,0.512,0.24,0.956,56.44,3.588,0.3,1.48,0.05,27.8,24.61,0.498,0.077,0.072,14.0,14.0,14.7,20170804130114.0,0.0,0.0,B,1.5e-06,32.0,1e-10,1e-10,26.0,,,5.0,20170728.0,,2.7589083000209333
15,O,100.55,0.548,0.13,1.289,58.04,3.105,-0.41,1.37,0.08,24.8,13.42,0.581,0.067,0.066,14.0,14.0,15.5,20170810094351.0,0.0,0.0,A,2.5e-06,32.0,1e-10,1e-10,1.0,,,5.0,20170728.0,,2.7207090422267663
16,O,100.5,0.54,0.13,1.072,57.9,3.038,-0.56,0.49,0.03,24.7,13.41,0.581,0.067,0.067,14.0,14.0,15.5,20170810094945.0,0.0,0.0,A,1.4e-05,32.0,3.4e-06,6.9e-07,2.0,,,5.0,20170728.0,,2.790679268669417
17,O,100.4,0.616,0.14,1.015,58.0,2.699,0.23,-0.29,-0.04,25.7,13.71,0.59,0.068,0.066,14.0,14.0,13.8,20170805224135.0,0.0,0.0,B,1.2e-05,32.0,5.9e-07,1e-10,1.0,,,5.0,20170728.0,,2.713633212411813
18,O,100.45,0.545,0.13,1.119,58.0,3.059,1.42,-0.9,-0.07,22.9,13.41,0.582,0.067,0.066,14.0,14.0,15.5,20170810095538.0,0.0,0.0,A,2.8e-06,32.0,1e-10,1e-10,3.0,,,5.0,20170728.0,,2.7928995990753416
19,O,100.55,0.551,0.13,1.265,58.06,3.076,-0.32,0.35,0.01,24.2,13.42,0.576,0.067,0.066,14.0,14.0,15.3,20170810110018.0,0.0,0.0,A,1.3e-05,32.0,2.2e-06,1e-10,14.0,,,5.0,20170728.0,,2.7210498456822574
20,N,102.1,0.391,0.26,0.969,60.58,2.744,-0.23,-0.38,-0.13,26.4,26.97,0.5,0.078,0.08,14.0,14.0,14.1,20170806004402.0,0.0,0.0,B,3.1e-06,32.0,1e-10,1e-10,26.0,,,5.0,20170728.0,,2.741182235272722
21,O,100.55,0.559,0.13,1.436,58.17,3.111,-0.35,1.45,0.07,22.9,13.42,0.571,0.067,0.067,14.0,14.0,15.3,20170810110618.0,0.0,0.0,A,4.8e-06,32.0,1e-10,1e-10,15.0,,,5.0,20170728.0,,2.5580188744737224
22,O,100.55,0.553,0.13,1.33,58.08,3.054,-0.05,0.12,-0.01,24.8,13.43,0.576,0.067,0.066,14.0,14.0,15.3,20170810111219.0,0.0,0.0,A,1.5e-05,32.0,3.3e-06,2.7e-06,16.0,,,5.0,20170728.0,,2.939118204931116
23,O,100.5,0.577,0.13,1.332,58.11,2.991,0.29,1.25,0.06,23.8,13.49,0.588,0.068,0.067,14.0,14.0,15.3,20170809150400.0,0.0,0.0,A,3.1e-07,32.0,1e-10,1e-10,1.0,,,5.0,20170728.0,,2.669172589685038
24,O,100.4,0.575,0.13,1.395,58.14,3.033,-0.29,1.02,0.05,24.6,13.43,0.577,0.068,0.067,14.0,14.0,15.3,20170810115151.0,0.0,0.0,A,1.5e-05,32.0,7.3e-07,1e-10,24.0,,,5.0,20170726.0,18.4,3.2118393704856154
25,N,102.15,0.56,0.25,1.378,61.37,2.836,-1.09,-0.64,-0.12,26.8,26.48,0.653,0.077,0.078,14.0,14.0,14.3,20170809150706.0,0.0,0.0,A,1.6e-07,32.0,1e-10,1e-10,2.0,,,5.0,20170726.0,18.4,3.036581884635101
26,O,100.45,0.557,0.13,1.304,58.09,3.059,-0.96,1.05,0.06,23.9,13.43,0.58,0.068,0.067,14.0,14.0,15.3,20170810115734.0,0.0,0.0,A,5.3e-06,32.0,1e-10,1e-10,25.0,,,5.0,20170728.0,,2.798200074359167
27,O,100.5,0.572,0.13,1.516,58.21,3.106,-0.37,1.22,0.07,24.7,13.43,0.57,0.067,0.066,14.0,14.0,15.3,20170810120328.0,0.0,0.0,A,1.1e-05,32.0,2.4e-06,1e-10,26.0,,,5.0,20170727.0,,3.2061562567378274
28,O,100.5,0.588,0.13,1.512,58.18,3.059,0.21,1.22,0.07,23.6,13.49,0.574,0.068,0.066,14.0,14.0,15.2,20170809151008.0,0.0,0.0,A,4.5e-06,32.0,1e-10,1e-10,3.0,,,5.0,20170727.0,,2.986916724505707
29,L,100.3,0.517,0.23,1.019,55.75,3.887,0.84,1.42,0.06,26.0,24.28,0.509,0.075,0.072,14.0,14.0,14.5,20170809232814.0,0.0,0.0,A,1e-10,32.0,1e-10,1e-10,2.0,,,5.0,20170726.0,18.4,3.076339936653111
30,L,100.3,0.51,0.24,0.991,55.75,3.881,0.73,1.48,0.07,27.8,24.32,0.498,0.076,0.071,14.0,14.0,14.5,20170809233407.0,0.0,0.0,A,3.2e-06,32.0,1e-10,1e-10,3.0,,,5.0,20170726.0,18.4,3.454555830692319
31,L,100.25,0.511,0.24,1.006,55.77,3.899,1.29,1.37,0.08,28.0,24.33,0.484,0.076,0.071,14.0,14.0,14.6,20170809233959.0,0.0,0.0,A,6e-06,32.0,1e-10,1e-10,4.0,,,5.0,20170730.0,,2.816482824341514
32,L,100.1,0.508,0.24,0.96,56.19,3.772,-2.28,0.27,0.14,27.4,24.49,0.503,0.087,0.073,14.0,14.0,14.8,20170802083728.0,0.0,0.0,A,1.3e-06,32.0,1e-10,1e-10,1.0,,,5.0,20170730.0,,2.8513776733412
33,L,100.1,0.507,0.24,0.99,56.23,3.795,-2.21,0.21,0.14,26.8,24.48,0.493,0.076,0.072,14.0,14.0,14.7,20170802100847.0,0.0,0.0,A,8e-06,32.0,6.8e-07,1e-10,26.0,,,5.0,20170730.0,,2.485651560089025
34,N,102.55,0.411,0.26,1.411,61.53,3.271,0.34,-0.9,-0.12,26.0,27.62,0.518,0.077,0.08,14.0,14.0,14.2,20170804145452.0,0.0,0.0,B,1.3e-05,32.0,3.6e-06,1e-10,1.0,,,5.0,20170729.0,18.4,2.6785604953903777
35,N,102.6,0.408,0.26,1.4,61.53,3.274,0.32,-0.79,-0.13,26.2,27.65,0.525,0.077,0.078,14.0,14.0,14.2,20170804163740.0,0.0,0.0,B,2.6e-06,32.0,4.3e-08,1e-10,26.0,,,5.0,20170729.0,18.4,2.564640375404293
36,N,102.3,0.477,0.25,1.601,61.45,3.127,-1.0,-0.93,-0.13,26.7,26.74,0.571,0.077,0.078,14.0,14.0,14.2,20170808181330.0,0.0,0.0,A,2.3e-06,32.0,1e-10,1e-10,2.0,,,5.0,20170729.0,18.4,2.462785015731553
37,N,102.05,0.488,0.25,1.396,61.19,3.013,-0.85,-0.96,-0.13,26.8,26.41,0.538,0.079,0.08,14.0,14.0,14.3,20170807170945.0,0.0,0.0,A,5.5e-06,32.0,1e-10,1e-10,1.0,,,5.0,20170731.0,18.4,2.703094315970283
38,N,102.25,0.471,0.25,1.494,61.38,3.038,0.05,-0.61,-0.12,26.3,26.73,0.57,0.077,0.079,14.0,14.0,14.1,20170808181920.0,0.0,0.0,A,6e-06,32.0,1e-10,1e-10,3.0,,,5.0,20170731.0,18.4,2.794969754438738
39,N,102.25,0.483,0.25,1.601,61.42,3.121,-0.83,-0.64,-0.13,26.7,26.69,0.575,0.078,0.079,14.0,14.0,14.1,20170808182516.0,0.0,0.0,A,2e-06,32.0,1e-10,1e-10,4.0,,,5.0,20170728.0,18.4,2.6891574403316874
40,O,100.65,0.518,0.13,1.099,57.73,2.921,1.4,-0.23,-0.05,24.0,13.52,0.585,0.068,0.066,14.0,14.0,13.1,20170807171310.0,0.0,0.0,A,6.5e-06,32.0,1e-10,1e-10,2.0,,,5.0,20170728.0,18.4,2.822834872042191
41,N,102.25,0.475,0.25,1.562,61.45,3.092,-0.89,-0.61,-0.13,25.8,26.69,0.586,0.077,0.079,14.0,14.0,14.0,20170808184848.0,0.0,0.0,A,8.9e-06,32.0,1e-10,1e-10,8.0,,,5.0,20170729.0,18.4,2.606689864039334
42,N,102.05,0.497,0.25,1.366,61.19,2.991,-0.87,-0.96,-0.13,26.6,26.42,0.541,0.079,0.079,14.0,14.0,14.4,20170807171616.0,0.0,0.0,A,5.9e-06,32.0,1e-10,1e-10,3.0,,,5.0,20170727.0,,3.1303385568781668
43,N,102.45,0.373,0.26,0.864,61.02,2.386,-0.55,-0.84,-0.13,26.4,26.75,0.505,0.077,0.079,14.0,14.0,14.1,20170810042047.0,0.0,0.0,A,6.5e-06,32.0,1e-10,1e-10,1.0,,,5.0,20170727.0,,3.0988871030967515
44,L,101.0,0.557,0.23,1.618,54.01,3.774,0.47,1.39,0.06,26.8,24.2,0.451,0.074,0.071,14.0,14.0,14.6,20170811175656.0,0.0,0.0,A,3.9e-06,32.0,1e-10,1e-10,1.0,,,5.0,20170729.0,18.4,2.9548392577048332
45,N,102.4,0.38,0.26,0.973,61.05,2.464,-1.1,-0.47,-0.11,26.0,26.75,0.501,0.077,0.079,14.0,14.0,14.3,20170810045646.0,0.0,0.0,A,1.4e-05,32.0,1e-10,1e-10,7.0,,,5.0,20170727.0,,3.028216460558585
46,L,101.0,0.562,0.23,1.636,53.97,3.793,1.56,1.45,0.07,27.3,24.2,0.44,0.075,0.071,14.0,14.0,14.7,20170811180258.0,0.0,0.0,A,5.5e-06,32.0,1e-10,1e-10,2.0,,,5.0,20170730.0,18.4,2.845882068637155
47,N,102.4,0.388,0.26,0.959,61.05,2.457,-0.91,-0.79,-0.13,26.5,26.73,0.513,0.078,0.08,14.0,14.0,14.2,20170810054441.0,0.0,0.0,A,1.5e-05,32.0,1e-10,1e-10,15.0,,,5.0,20170730.0,18.3,2.8824315917284427
48,L,100.95,0.553,0.23,1.476,54.06,3.833,0.71,1.37,0.08,27.3,24.2,0.434,0.075,0.071,14.0,14.0,14.7,20170811180857.0,0.0,0.0,A,2.1e-06,32.0,1e-10,1e-10,3.0,,,5.0,20170730.0,18.4,2.8959028387038916
49,N,102.45,0.384,0.26,0.938,61.02,2.418,-0.27,-0.79,-0.13,26.2,26.73,0.519,0.076,0.079,14.0,14.0,14.3,20170810062631.0,0.0,0.0,A,6.9e-06,32.0,1e-10,1e-10,21.0,,,5.0,20170727.0,,2.938703908402126
50,L,100.95,0.573,0.23,1.647,54.11,3.869,-0.01,1.39,0.05,27.0,24.22,0.44,0.076,0.07,14.0,14.0,14.6,20170811190903.0,0.0,0.0,A,2.7e-06,32.0,1.7e-08,1e-10,13.0,,,5.0,20170729.0,,2.9474808531410486
51,O,100.5,0.644,0.13,1.444,58.37,3.053,-0.28,1.13,0.04,22.8,13.47,0.648,0.067,0.065,14.0,14.0,15.3,20170810065030.0,0.0,0.0,A,1e-10,32.0,1e-10,1e-10,26.0,,,5.0,20170727.0,,2.7408277046929994
52,O,99.48,0.676,0.14,1.333,57.63,2.719,-0.18,0.64,0.01,22.7,13.82,0.508,0.068,0.067,14.0,14.0,13.4,20170803092414.0,0.0,0.0,A,4.3e-06,32.0,1e-10,1e-10,26.0,,,5.0,20170729.0,,2.91333796965615
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.91333796965615
