TOOL,Tool,TOOL_ID,Tool (#1),TOOL (#1),TOOL (#2),Tool (#2),Tool (#3),Tool (#4),OPERATION_ID,TOOL (#3)
O,B,N,E,V,B,V,R,B,XY1,B
O,B,N,E,V,B,V,R,B,XY1,B
O,B,N,E,V,B,V,R,B,XY1,B
O,B,N,E,V,B,V,R,B,XY1,B
N,B,E,E,V,B,V,R,B,XY1,B
L,B,E,E,V,B,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
L,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
L,B,E,E,K,B,V,Q,B,XY1,B
M,B,E,E,K,B,V,Q,B,XY1,B
L,B,E,E,K,B,V,Q,B,XY1,B
M,B,E,E,K,B,V,Q,B,XY1,B
L,B,E,E,K,B,V,Q,B,XY1,B
M,B,E,E,K,B,V,Q,B,XY1,B
L,B,E,E,K,B,V,Q,B,XY1,B
M,B,E,E,K,B,V,Q,B,XY1,B
M,B,E,E,K,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
O,B,E,E,T,B,V,Q,B,XY1,B
M,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
M,B,E,E,T,B,V,R,B,XY1,B
L,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
L,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
L,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
L,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
L,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
L,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
N,A,E,E,T,C,V,R,D,XY1,B
O,A,E,E,T,C,V,R,D,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
N,B,E,E,T,B,V,R,B,XY1,B
M,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
O,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
O,B,E,E,T,B,V,R,B,XY1,B
O,B,E,E,T,B,V,R,B,XY1,B
O,B,E,E,T,B,V,R,B,XY1,B
O,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,V,B,V,R,B,XY1,B
N,B,E,E,V,B,V,R,B,XY1,B
M,B,E,E,V,B,V,R,B,XY1,B
L,B,E,E,T,C,V,R,D,XY1,B
N,B,E,E,T,C,V,R,D,XY1,B
J,B,E,E,T,C,V,R,D,XY1,B
J,B,E,E,T,C,V,R,D,XY1,B
J,B,E,E,T,C,V,R,D,XY1,B
J,B,E,E,T,C,V,R,D,XY1,B
J,B,E,E,T,C,V,R,D,XY1,B
J,B,E,E,T,C,V,R,D,XY1,B
N,B,E,E,T,C,V,R,D,XY1,B
L,B,E,E,T,C,V,R,D,XY1,B
N,B,E,E,T,C,V,R,D,XY1,B
L,B,E,E,T,C,V,R,D,XY1,B
N,B,E,E,T,C,V,R,D,XY1,B
M,B,E,E,V,D,V,R,D,XY2,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,B,E,E,T,A,V,R,B,XY1,B
N,B,E,E,T,A,V,R,B,XY1,B
J,B,E,E,T,A,V,R,B,XY1,B
J,B,E,E,T,A,V,R,B,XY1,B
J,B,E,E,T,A,V,R,B,XY1,B
N,B,E,E,T,A,V,R,B,XY1,B
N,A,E,E,T,C,V,R,B,XY1,B
O,A,E,E,T,C,V,R,B,XY1,B
N,B,E,E,T,A,V,R,B,XY1,B
N,B,E,E,T,B,V,R,B,XY1,C
L,B,E,E,T,B,V,R,B,XY1,C
N,B,E,E,T,B,V,R,B,XY1,C
L,B,E,E,V,D,V,R,B,XY1,B
L,B,E,E,V,D,V,R,B,XY1,B
L,B,E,E,V,D,V,R,B,XY1,B
M,A,E,E,V,C,V,R,D,XY1,B
N,A,E,E,V,C,V,R,D,XY1,B
L,A,E,E,V,C,V,R,D,XY1,B
M,A,E,E,V,C,V,R,D,XY1,B
M,A,E,E,V,C,V,R,D,XY1,B
M,B,E,E,T,B,V,R,B,XY2,B
L,B,E,E,T,B,V,R,B,XY2,B
N,B,E,E,T,B,V,R,B,XY2,B
L,B,E,E,T,D,V,R,D,XY1,B
N,B,E,E,T,D,V,R,D,XY1,B
M,B,E,E,T,D,V,R,D,XY1,B
M,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
N,B,E,E,T,B,V,R,B,XY1,B
N,B,E,E,T,B,V,R,B,XY1,B
M,B,E,E,T,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,B,XY1,B
M,B,E,E,T,B,V,R,B,XY1,C
L,B,E,E,T,B,V,R,B,XY1,C
M,B,E,E,T,B,V,R,B,XY1,C
L,A,E,E,T,B,V,R,D,XY1,B
N,B,E,E,V,B,V,R,B,XY1,B
M,B,E,E,V,B,V,R,B,XY1,B
M,B,E,E,V,C,W,R,B,XY1,B
L,B,E,E,V,C,W,R,B,XY1,B
M,B,E,E,V,C,W,R,B,XY1,B
L,B,E,E,V,C,W,R,B,XY1,B
M,B,E,E,V,C,W,R,B,XY1,B
L,B,E,E,V,C,W,R,B,XY1,B
M,B,E,E,V,C,W,R,B,XY2,B
L,B,E,E,V,C,W,R,B,XY2,B
M,B,E,E,V,C,W,R,B,XY2,B
N,B,E,E,T,C,V,R,E,XY1,C
N,B,E,E,T,C,V,R,E,XY1,C
M,B,E,E,T,B,W,R,B,XY1,B
N,B,E,E,T,B,W,R,B,XY1,B
N,B,E,E,T,C,V,R,D,XY1,B
M,B,E,E,T,C,V,R,D,XY1,B
M,B,E,E,T,B,W,R,B,XY1,B
M,B,E,E,T,B,W,R,B,XY1,B
N,B,E,E,T,B,W,R,B,XY1,B
L,B,E,E,T,B,W,R,B,XY1,B
N,B,E,E,T,C,V,R,B,XY1,B
L,B,E,E,T,C,V,R,B,XY1,B
L,B,E,E,T,C,V,R,B,XY1,B
M,B,E,E,T,C,V,R,B,XY1,B
M,B,E,E,T,B,V,R,B,XY1,C
M,B,E,E,T,B,V,R,B,XY1,C
N,B,N,E,T,C,V,R,D,XY1,B
N,B,N,E,T,C,V,R,D,XY1,B
N,B,N,E,T,C,V,R,D,XY1,B
N,B,N,E,T,C,V,R,D,XY1,B
N,B,N,E,T,C,V,R,D,XY1,B
N,B,N,E,T,C,V,R,D,XY1,B
N,B,E,E,V,D,V,R,D,XY1,C
N,B,E,E,V,D,V,R,D,XY1,C
N,B,E,E,V,C,V,R,E,XY1,C
N,B,E,E,V,B,V,R,B,XY1,B
L,B,E,E,V,B,V,R,B,XY1,B
M,B,E,E,V,B,V,R,B,XY1,B
N,B,E,E,V,B,V,R,B,XY1,B
M,B,E,E,V,B,V,R,B,XY1,B
M,B,E,E,V,B,V,R,B,XY1,B
M,B,E,E,V,B,V,R,B,XY1,B
L,B,E,E,T,B,V,R,D,XY1,B
N,B,E,E,T,B,V,R,D,XY1,B
L,B,E,E,T,B,V,R,D,XY1,B
M,B,E,E,T,B,V,R,D,XY1,B
L,B,E,E,T,B,V,R,D,XY1,B
L,B,E,E,T,B,V,R,D,XY1,B
L,B,E,E,T,B,V,R,D,XY1,B
L,B,E,E,T,B,V,R,D,XY1,B
L,B,E,E,T,B,V,R,D,XY1,B
L,B,E,E,V,A,V,Q,B,XY1,B
M,B,E,E,V,A,V,Q,B,XY1,B
L,B,E,E,V,A,V,Q,B,XY1,B
N,B,E,E,V,A,V,Q,B,XY1,B
M,B,E,E,T,B,V,R,D,XY1,B
M,B,E,E,T,B,V,R,D,XY1,B
M,B,E,E,T,B,V,R,D,XY1,B
M,B,E,E,T,B,V,R,D,XY1,B
L,B,E,E,T,B,V,R,D,XY1,B
N,B,E,E,V,C,W,R,D,XY1,B
N,B,E,E,V,C,W,R,D,XY1,B
N,B,E,E,V,C,W,R,D,XY1,B
M,B,E,E,V,C,W,R,D,XY1,B
M,A,E,E,T,C,V,R,B,XY1,D
L,A,E,E,T,C,V,R,B,XY1,D
M,A,E,E,T,C,V,R,B,XY1,D
L,A,N,E,V,C,V,R,D,XY1,D
N,A,N,E,V,C,V,R,D,XY1,D
N,A,N,E,V,C,V,R,D,XY1,D
M,A,N,E,V,C,V,R,D,XY1,D
L,A,N,E,V,C,V,R,D,XY1,D
N,A,N,E,V,C,V,R,D,XY1,D
L,A,N,E,V,C,V,R,D,XY1,D
M,A,N,E,V,C,V,R,D,XY1,D
M,B,E,E,V,B,V,R,D,XY1,B
L,B,E,E,T,B,V,R,D,XY1,B
N,B,E,E,T,B,V,R,D,XY1,B
M,B,E,E,T,B,V,R,D,XY1,B
L,A,E,E,V,A,V,Q,B,XY1,B
L,A,E,E,V,A,V,Q,B,XY1,B
N,A,E,E,V,A,V,Q,B,XY1,B
L,A,E,E,V,A,V,Q,B,XY1,B
N,A,E,E,V,A,V,Q,B,XY1,B
N,A,E,E,V,A,V,Q,B,XY1,B
M,B,E,E,V,C,V,R,B,XY1,B
N,B,E,B,T,D,V,R,D,XY1,A
M,B,E,B,T,D,V,R,D,XY1,A
N,B,E,B,V,C,V,R,D,XY1,B
M,B,E,B,V,C,V,R,D,XY1,B
N,B,E,B,V,C,V,R,D,XY1,B
M,B,E,B,V,C,V,R,D,XY1,B
L,B,E,B,V,C,V,R,D,XY1,B
L,B,E,B,V,C,V,R,D,XY1,B
M,A,N,E,V,B,V,R,D,XY1,B
N,A,N,E,V,B,V,R,D,XY1,B
N,A,N,E,V,B,V,R,D,XY1,B
L,B,E,E,T,C,V,R,D,XY1,B
N,B,E,E,T,C,V,R,D,XY1,B
M,B,E,E,T,C,V,R,D,XY1,B
L,A,E,E,V,C,V,R,D,XY1,D
M,B,E,E,V,C,V,R,D,XY1,B
L,B,E,E,V,C,V,R,D,XY1,B
M,B,E,E,V,C,V,R,D,XY1,B
M,B,N,B,V,D,V,R,B,XY1,A
L,B,N,B,V,D,V,R,B,XY1,A
N,B,N,B,V,D,V,R,B,XY1,A
N,A,E,E,T,B,V,R,D,XY2,D
N,A,E,E,T,B,V,R,D,XY2,D
N,A,E,E,T,B,V,R,D,XY2,D
N,A,E,E,T,B,V,R,D,XY2,D
N,A,E,E,T,B,V,R,D,XY2,D
N,A,E,E,T,B,V,R,D,XY2,D
N,A,E,E,T,B,V,R,D,XY2,D
N,A,N,E,T,C,V,R,D,XY1,B
N,A,N,E,T,C,V,R,D,XY1,B
N,A,N,E,T,C,V,R,D,XY1,B
N,A,N,E,T,C,V,R,D,XY1,B
M,A,N,E,T,C,V,R,D,XY1,B
M,A,N,E,T,C,V,R,D,XY1,B
M,A,N,E,V,C,V,R,D,XY1,B
N,A,N,E,V,C,V,R,D,XY1,B
L,B,E,E,V,B,V,R,D,XY1,B
N,B,E,E,V,B,V,R,D,XY1,B
M,B,E,E,V,B,V,R,D,XY1,B
N,A,E,E,V,C,V,R,D,XY1,B
N,A,E,E,V,C,V,R,D,XY1,B
N,A,E,E,V,C,V,R,D,XY1,B
N,A,E,E,V,C,V,R,D,XY1,B
N,A,E,E,V,C,V,R,D,XY1,B
N,A,E,E,V,C,V,R,D,XY1,B
M,A,N,E,K,C,V,R,D,XY1,B
L,A,N,E,K,C,V,R,D,XY1,B
L,A,N,E,K,C,V,R,D,XY1,B
M,A,N,E,K,C,V,R,D,XY1,B
N,B,E,E,T,B,V,R,D,XY1,B
M,B,E,E,T,B,V,R,D,XY1,B
L,B,E,E,T,B,V,R,D,XY1,B
N,B,E,E,T,B,V,R,D,XY1,B
N,B,E,E,V,B,V,R,D,XY1,D
M,B,E,E,V,B,V,R,D,XY1,D
N,B,E,E,V,B,V,R,D,XY1,D
M,B,E,E,V,B,V,R,D,XY1,D
M,B,E,E,V,B,V,R,D,XY1,D
L,B,E,E,V,B,V,R,D,XY1,D
N,B,N,B,V,B,V,R,D,XY1,A
N,B,E,E,K,C,V,R,D,XY1,B
N,A,E,E,V,D,V,R,D,XY1,B
N,A,E,E,V,B,V,R,B,XY1,D
N,A,E,E,V,B,V,R,B,XY1,D
N,A,E,E,V,B,V,R,B,XY1,D
N,A,E,E,V,B,V,R,B,XY1,D
N,A,E,E,V,C,V,R,D,XY1,D
M,B,E,E,V,C,V,R,D,XY1,B
M,B,E,E,V,C,V,R,D,XY1,B
M,B,E,E,V,C,V,R,D,XY1,B
N,A,E,B,V,B,V,Q,C,XY1,B
M,A,N,B,V,B,V,Q,C,XY1,B
L,A,N,B,T,D,V,R,D,XY1,B
L,A,E,B,T,D,V,R,D,XY1,B
N,A,N,B,T,D,V,R,D,XY1,B
N,A,E,B,T,D,V,R,D,XY1,B
M,A,N,B,T,D,V,R,D,XY1,B
M,A,E,B,T,D,V,R,D,XY1,B
L,A,E,E,V,B,V,R,D,XY1,D
M,A,E,E,V,B,V,R,D,XY1,D
L,A,E,E,V,B,V,R,D,XY1,D
M,A,E,E,V,B,V,R,D,XY1,D
L,A,N,E,K,C,V,R,D,XY1,B
N,A,N,E,K,C,V,R,D,XY1,B
N,A,E,E,V,C,V,R,D,XY1,B
N,A,E,E,V,C,V,R,D,XY1,B
N,B,E,E,V,D,W,R,D,XY1,A
M,B,E,E,V,D,W,R,D,XY1,A
L,B,E,E,V,D,W,R,D,XY1,A
M,B,E,E,V,D,W,R,D,XY1,A
N,A,E,E,V,C,V,R,D,XY1,B
M,A,E,E,V,C,V,R,D,XY1,B
L,A,E,E,V,C,V,R,D,XY1,B
N,A,E,E,K,C,V,R,D,XY1,D
M,A,E,E,K,C,V,R,D,XY1,D
N,A,E,E,K,C,V,R,D,XY1,D
M,A,E,E,K,C,V,R,D,XY1,D
M,A,E,E,K,C,V,R,D,XY1,D
N,A,E,E,K,C,V,R,D,XY1,D
N,A,N,E,V,B,V,R,D,XY1,B
M,A,N,E,V,B,V,R,D,XY1,B
L,A,N,E,V,B,V,R,D,XY1,B
N,A,E,B,T,C,V,Q,B,XY1,B
L,A,E,B,T,C,V,Q,B,XY1,B
N,A,E,B,T,C,V,Q,B,XY1,B
N,A,N,E,K,C,V,R,D,XY1,B
L,A,N,E,K,C,V,R,D,XY1,B
N,A,N,E,K,C,V,R,D,XY1,B
L,A,N,E,K,C,V,R,D,XY1,B
L,A,N,E,T,D,V,R,D,XY1,B
N,A,N,E,T,D,V,R,D,XY1,B
M,A,N,E,T,D,V,R,D,XY1,B
L,B,N,B,T,B,V,R,B,XY2,A
N,B,N,B,T,B,V,R,B,XY2,A
N,B,N,B,T,B,V,R,B,XY2,A
L,B,N,B,T,B,V,R,B,XY2,A
L,B,N,B,T,B,V,R,B,XY2,A
N,B,N,B,T,B,V,R,B,XY2,A
N,A,N,E,V,D,V,R,D,XY1,B
N,A,N,E,V,D,V,R,D,XY1,B
N,A,N,E,V,D,V,R,D,XY1,B
N,B,N,B,T,B,V,R,C,XY1,A
L,B,N,B,T,B,V,R,C,XY1,A
N,B,N,B,T,B,V,R,C,XY1,A
L,B,N,B,T,B,V,R,C,XY1,A
L,B,N,B,T,B,V,R,C,XY1,A
L,B,N,B,T,B,V,R,C,XY1,A
L,B,N,B,T,B,V,R,C,XY1,A
N,B,N,B,T,B,V,R,C,XY1,A
L,B,N,B,T,B,V,R,C,XY1,A
N,B,E,E,T,B,V,R,D,XY1,A
M,B,E,E,T,B,V,R,D,XY1,A
L,B,E,E,T,B,V,R,D,XY1,A
M,B,E,E,T,B,V,R,D,XY1,A
L,B,E,E,T,B,V,R,D,XY1,A
M,B,E,E,T,B,V,R,D,XY1,A
L,B,E,E,T,B,V,R,D,XY1,A
M,B,E,E,T,B,V,R,D,XY1,A
N,B,E,D,T,B,V,R,A,XY1,A
M,B,E,D,T,B,V,R,A,XY1,A
N,B,E,D,T,B,V,R,A,XY1,A
L,B,E,D,T,B,V,R,A,XY1,A
N,B,E,D,T,B,V,R,A,XY1,A
M,B,E,D,T,B,V,R,A,XY1,A
N,B,E,E,T,D,W,R,B,XY1,A
M,B,E,E,T,D,W,R,B,XY1,A
N,B,E,E,T,D,W,R,B,XY1,A
L,B,E,E,V,B,V,R,D,XY1,A
M,B,E,E,V,B,V,R,D,XY1,A
M,B,E,E,V,B,V,R,D,XY1,A
L,B,E,E,V,B,V,R,D,XY1,A
M,B,E,E,V,B,V,R,D,XY1,A
M,B,E,E,V,B,V,R,D,XY1,A
M,B,E,E,V,B,V,R,D,XY1,A
M,B,E,E,V,B,V,R,D,XY1,A
N,B,E,E,V,D,V,R,D,XY1,A
M,B,E,E,V,D,V,R,D,XY1,A
M,B,E,E,V,D,V,R,D,XY1,A
L,B,E,E,V,D,V,R,D,XY1,A
M,B,E,E,V,D,V,R,D,XY1,A
L,B,E,E,V,D,V,R,D,XY1,A
L,B,E,E,V,D,V,R,D,XY1,A
L,B,N,B,K,D,V,R,D,XY1,E
L,B,N,B,K,D,V,R,D,XY1,E
L,B,N,B,K,D,V,R,D,XY1,E
N,B,N,B,V,D,V,R,D,XY1,A
L,B,E,B,T,B,V,R,D,XY1,A
M,B,E,B,T,B,V,R,D,XY1,A
L,B,E,B,T,B,V,R,D,XY1,A
N,B,E,E,V,B,V,R,D,XY1,A
M,B,E,E,T,B,W,R,D,XY1,A
N,B,E,E,T,B,W,R,D,XY1,A
