,210X1,210X10,210X11,210X12,210X13,210X14,210X2,210X22,210X23,210X3,210X4,210X5,210X6,210X7,210X8,210X9,220X147,261X569,261X571,261X572,312X175,330X623,Y
0,100.8,24.3,42.27,0.378,0.082,0.088,0.322,14.0,14.3,0.41,0.544,70.98,3.58,0.11,-0.32,-0.15,25.0,1.4e-05,1e-10,1e-10,18.4,20170729.0,2.955092235391502
1,100.75,24.8,13.61,0.526,0.067,0.067,0.526,14.0,13.0,0.14,1.081,57.84,2.848,-0.75,1.1,0.06,1.0,7.7e-06,1.5e-07,1e-10,18.4,20170729.0,2.7412641668604247
2,100.7,23.7,13.65,0.517,0.066,0.066,0.541,14.0,13.2,0.14,1.119,58.01,2.909,-0.98,1.05,0.06,26.0,1.4e-06,1e-10,1e-10,18.4,20170728.0,2.799335932073436
3,100.7,24.4,13.52,0.563,0.067,0.066,0.503,14.0,14.0,0.13,0.944,57.67,2.888,-0.48,1.08,0.06,8.0,9e-06,1e-10,1e-10,19.2,20170728.0,2.692092529690795
4,101.25,26.9,23.73,2.205,0.074,0.068,0.816,14.0,14.3,0.22,2.994,62.1,3.005,-2.28,0.61,0.07,1.0,4.5e-06,1e-10,1e-10,18.4,20170728.0,2.6258530534421216
5,102.0,26.5,26.41,0.556,0.079,0.079,0.504,14.0,14.0,0.25,1.52,61.16,3.112,-0.34,-0.55,-0.12,9.0,1e-10,1e-10,1e-10,19.2,20170728.0,2.6980066614278413
6,99.78,27.8,24.15,0.493,0.076,0.072,0.604,14.0,14.8,0.24,1.474,55.56,3.676,-2.34,0.21,0.16,3.0,1e-10,1e-10,1e-10,18.4,20170727.0,2.7882307377907956
7,99.81,26.9,24.16,0.487,0.075,0.072,0.593,14.0,14.5,0.24,1.44,55.52,3.716,-2.59,0.42,0.16,4.0,1e-10,1e-10,1e-10,18.4,20170727.0,2.7734526016728407
8,102.3,26.3,26.65,0.57,0.077,0.078,0.474,14.0,14.4,0.25,1.522,61.38,3.018,-0.12,-0.87,-0.13,5.0,2.4e-06,1e-10,1e-10,19.2,20170727.0,2.851242374686125
9,102.25,26.7,26.63,0.647,0.079,0.079,0.559,14.0,14.1,0.25,1.591,61.41,3.066,-0.73,-0.73,-0.14,8.0,1e-10,1e-10,1e-10,18.4,20170727.0,3.0452078632680215
10,99.94,26.7,24.66,0.498,0.077,0.073,0.514,14.0,14.5,0.24,1.016,56.66,3.515,1.5,1.63,0.05,1.0,8.1e-06,2.1e-07,1e-10,18.4,20170728.0,2.765984475765674
11,99.47,28.4,24.48,0.524,0.076,0.072,0.559,14.0,14.8,0.24,1.065,56.44,3.426,-2.22,0.36,0.15,2.0,2.9e-06,1e-10,1e-10,18.4,20170728.0,2.6761605040565613
12,102.15,27.2,26.57,0.554,0.078,0.08,0.509,14.0,14.3,0.25,1.657,61.2,3.263,-0.85,-0.76,-0.13,3.0,9.3e-06,2.9e-07,1e-10,18.4,20170728.0,2.717160503968172
13,99.84,27.8,24.61,0.498,0.077,0.072,0.512,14.0,14.7,0.24,0.956,56.44,3.588,0.3,1.48,0.05,26.0,1.5e-06,1e-10,1e-10,19.2,20170728.0,2.7589083000209333
14,100.55,24.8,13.42,0.581,0.067,0.066,0.548,14.0,15.5,0.13,1.289,58.04,3.105,-0.41,1.37,0.08,1.0,2.5e-06,1e-10,1e-10,19.2,20170728.0,2.7207090422267663
15,100.5,24.7,13.41,0.581,0.067,0.067,0.54,14.0,15.5,0.13,1.072,57.9,3.038,-0.56,0.49,0.03,2.0,1.4e-05,3.4e-06,6.9e-07,18.4,20170728.0,2.790679268669417
16,100.45,22.9,13.41,0.582,0.067,0.066,0.545,14.0,15.5,0.13,1.119,58.0,3.059,1.42,-0.9,-0.07,3.0,2.8e-06,1e-10,1e-10,18.4,20170728.0,2.7928995990753416
17,102.1,26.4,26.97,0.5,0.078,0.08,0.391,14.0,14.1,0.26,0.969,60.58,2.744,-0.23,-0.38,-0.13,26.0,3.1e-06,1e-10,1e-10,18.4,20170728.0,2.741182235272722
18,100.55,24.8,13.43,0.576,0.067,0.066,0.553,14.0,15.3,0.13,1.33,58.08,3.054,-0.05,0.12,-0.01,16.0,1.5e-05,3.3e-06,2.7e-06,18.4,20170728.0,2.939118204931116
19,100.4,24.6,13.43,0.577,0.068,0.067,0.575,14.0,15.3,0.13,1.395,58.14,3.033,-0.29,1.02,0.05,24.0,1.5e-05,7.3e-07,1e-10,18.4,20170726.0,3.2118393704856154
20,102.15,26.8,26.48,0.653,0.077,0.078,0.56,14.0,14.3,0.25,1.378,61.37,2.836,-1.09,-0.64,-0.12,2.0,1.6e-07,1e-10,1e-10,18.4,20170726.0,3.036581884635101
21,100.45,23.9,13.43,0.58,0.068,0.067,0.557,14.0,15.3,0.13,1.304,58.09,3.059,-0.96,1.05,0.06,25.0,5.3e-06,1e-10,1e-10,19.2,20170728.0,2.798200074359167
22,100.3,26.0,24.28,0.509,0.075,0.072,0.517,14.0,14.5,0.23,1.019,55.75,3.887,0.84,1.42,0.06,2.0,1e-10,1e-10,1e-10,18.4,20170726.0,3.076339936653111
23,100.3,27.8,24.32,0.498,0.076,0.071,0.51,14.0,14.5,0.24,0.991,55.75,3.881,0.73,1.48,0.07,3.0,3.2e-06,1e-10,1e-10,18.4,20170726.0,3.454555830692319
24,100.1,26.8,24.48,0.493,0.076,0.072,0.507,14.0,14.7,0.24,0.99,56.23,3.795,-2.21,0.21,0.14,26.0,8e-06,6.8e-07,1e-10,19.2,20170730.0,2.485651560089025
25,102.55,26.0,27.62,0.518,0.077,0.08,0.411,14.0,14.2,0.26,1.411,61.53,3.271,0.34,-0.9,-0.12,1.0,1.3e-05,3.6e-06,1e-10,19.2,20170729.0,2.6785604953903777
26,102.6,26.2,27.65,0.525,0.077,0.078,0.408,14.0,14.2,0.26,1.4,61.53,3.274,0.32,-0.79,-0.13,26.0,2.6e-06,4.3e-08,1e-10,19.2,20170729.0,2.564640375404293
27,102.05,26.8,26.41,0.538,0.079,0.08,0.488,14.0,14.3,0.25,1.396,61.19,3.013,-0.85,-0.96,-0.13,1.0,5.5e-06,1e-10,1e-10,18.4,20170731.0,2.703094315970283
28,102.25,26.3,26.73,0.57,0.077,0.079,0.471,14.0,14.1,0.25,1.494,61.38,3.038,0.05,-0.61,-0.12,3.0,6e-06,1e-10,1e-10,18.4,20170731.0,2.794969754438738
29,102.25,26.7,26.69,0.575,0.078,0.079,0.483,14.0,14.1,0.25,1.601,61.42,3.121,-0.83,-0.64,-0.13,4.0,2e-06,1e-10,1e-10,19.2,20170728.0,2.6891574403316874
30,102.25,25.8,26.69,0.586,0.077,0.079,0.475,14.0,14.0,0.25,1.562,61.45,3.092,-0.89,-0.61,-0.13,8.0,8.9e-06,1e-10,1e-10,18.4,20170729.0,2.606689864039334
31,102.05,26.6,26.42,0.541,0.079,0.079,0.497,14.0,14.4,0.25,1.366,61.19,2.991,-0.87,-0.96,-0.13,3.0,5.9e-06,1e-10,1e-10,19.2,20170727.0,3.1303385568781668
32,102.45,26.4,26.75,0.505,0.077,0.079,0.373,14.0,14.1,0.26,0.864,61.02,2.386,-0.55,-0.84,-0.13,1.0,6.5e-06,1e-10,1e-10,19.2,20170727.0,3.0988871030967515
33,101.0,27.3,24.2,0.44,0.075,0.071,0.562,14.0,14.7,0.23,1.636,53.97,3.793,1.56,1.45,0.07,2.0,5.5e-06,1e-10,1e-10,18.4,20170730.0,2.845882068637155
34,102.4,26.5,26.73,0.513,0.078,0.08,0.388,14.0,14.2,0.26,0.959,61.05,2.457,-0.91,-0.79,-0.13,15.0,1.5e-05,1e-10,1e-10,18.3,20170730.0,2.8824315917284427
35,100.95,27.3,24.2,0.434,0.075,0.071,0.553,14.0,14.7,0.23,1.476,54.06,3.833,0.71,1.37,0.08,3.0,2.1e-06,1e-10,1e-10,18.4,20170730.0,2.8959028387038916
36,102.45,26.2,26.73,0.519,0.076,0.079,0.384,14.0,14.3,0.26,0.938,61.02,2.418,-0.27,-0.79,-0.13,21.0,6.9e-06,1e-10,1e-10,19.2,20170727.0,2.938703908402126
37,100.95,27.0,24.22,0.44,0.076,0.07,0.573,14.0,14.6,0.23,1.647,54.11,3.869,-0.01,1.39,0.05,13.0,2.7e-06,1.7e-08,1e-10,19.2,20170729.0,2.9474808531410486
38,100.5,22.8,13.47,0.648,0.067,0.065,0.644,14.0,15.3,0.13,1.444,58.37,3.053,-0.28,1.13,0.04,26.0,1e-10,1e-10,1e-10,19.2,20170727.0,2.7408277046929994
39,100.85,24.1,42.31,0.469,0.083,0.088,0.423,14.0,14.3,0.41,0.624,35.5,1.795,0.08,-0.18,-0.15,14.0,1.4e-05,6.8e-07,1e-10,20.699999999999996,20170729.0,2.9450788825752783
40,100.4,25.7,13.71,0.59,0.068,0.066,0.616,14.0,13.8,0.14,1.015,58.0,2.699,0.23,-0.29,-0.04,1.0,1.2e-05,5.9e-07,1e-10,20.799999999999997,20170728.0,2.713633212411813
41,100.55,24.2,13.42,0.576,0.067,0.066,0.551,14.0,15.3,0.13,1.265,58.06,3.076,-0.32,0.35,0.01,14.0,1.3e-05,2.2e-06,1e-10,16.53333333333333,20170728.0,2.7210498456822574
42,100.55,22.9,24.737777777777776,0.571,0.067,0.067,0.559,14.0,15.3,0.13,1.436,58.17,3.111,-0.35,1.45,0.07,15.0,4.8e-06,1e-10,1e-10,18.57777777777778,20170728.0,2.5580188744737224
43,100.5,23.8,13.49,0.588,0.068,0.067,0.577,14.0,15.3,0.13,1.332,58.11,2.991,0.29,1.25,0.06,1.0,3.1e-07,1e-10,1e-10,18.666666666666664,20170728.0,2.669172589685038
44,100.5,24.7,13.43,0.57,0.067,0.066,0.572,14.0,15.3,0.13,1.516,58.21,3.106,-0.37,1.22,0.07,26.0,1.1e-05,2.4e-06,1e-10,14.31111111111111,20170727.0,3.2061562567378274
45,100.5,23.6,13.49,0.574,0.068,0.066,0.588,14.0,15.2,0.13,1.512,58.18,3.059,0.21,1.22,0.07,3.0,4.5e-06,1e-10,1e-10,20.711111111111116,22411920.0,2.986916724505707
46,100.25,28.0,24.33,0.484,0.076,0.071,0.511,14.0,14.6,0.24,1.006,55.77,3.899,1.29,1.37,0.08,4.0,6e-06,1e-10,1e-10,16.62222222222222,20170730.0,2.816482824341514
47,100.1,27.4,24.49,0.503,0.08233333333333334,0.073,0.508,15.555555555555555,14.8,0.24,0.96,56.19,3.772,-2.28,0.27,0.14,1.0,1.3e-06,1e-10,1e-10,16.62222222222222,20170730.0,2.8513776733412
48,102.3,29.17777777777778,26.74,0.5963333333333334,0.077,0.078,0.477,14.0,14.2,0.25,1.601,61.45,3.127,-1.0,-0.93,-0.13,2.0,2.3e-06,1e-10,1e-10,18.4,20170729.0,2.462785015731553
49,100.65,24.0,13.52,0.585,0.068,0.066,0.518,14.0,13.1,0.13,1.099,57.73,2.921,1.4,-0.23,-0.05,2.0,6.5e-06,1e-10,3.767444444444443e-07,18.4,20170728.0,2.822834872042191
50,101.0,29.233333333333334,24.2,0.451,0.074,0.071,0.557,14.0,14.6,0.23,1.618,54.01,3.774,0.47,1.39,0.06,1.0,3.9e-06,1e-10,1e-10,18.4,20170729.0,2.9548392577048332
51,102.4,26.0,26.75,0.501,0.077,0.079,0.38,14.0,14.3,0.26,0.973,61.05,2.464,-1.1,-0.47,-0.11,7.0,3.1000222222222224e-06,1e-10,1e-10,14.399999999999999,20170727.0,3.028216460558585
52,99.48,22.7,13.82,0.508,0.068,0.067,0.676,14.0,13.4,0.14,1.333,57.63,2.719,-0.18,0.64,0.01,26.0,4.3e-06,1e-10,1e-10,14.31111111111111,20170729.0,2.91333796965615
53,99.48,22.7,13.82,0.508,0.068,0.067,0.676,14.0,13.4,0.14,1.333,57.63,2.719,-0.18,0.64,0.01,13.555555555555555,4.3e-06,1.6766666666666675e-08,1.111111111111111e-10,19.2,20170729.0,2.91333796965615
